订单 ID,订单日期,发货日期,产品名称,类别,子类别,客户名称,细分,国家,地区,城市,省/自治区,邮寄方式,销售额,利润,折扣,数量
CN-2014-3555396,2014/8/20,2014/8/22,"摩托罗拉 充电器, 混合尺寸",技术,电话,谭珊,消费者,中国,华东,上海,上海,二级,"27,113","3,253",0%,9
CN-2014-3555396,2014/8/20,2014/8/22,"冲电器 电话, 耐用",技术,设备,谭珊,消费者,中国,华东,上海,上海,二级,"1,623",81,0%,4
CN-2014-3555396,2014/8/20,2014/8/22,"贝尔金 鼠标, 可编程",技术,配件,谭珊,消费者,中国,华东,上海,上海,二级,197,16,0%,1
CN-2014-3279950,2014/8/20,2014/8/25,"Smead 文件夹, 工业",办公用品,收纳具,苏婵娟,消费者,中国,华东,合肥,安徽,标准级,84,4,0%,1
US-2014-2872339,2014/8/20,2014/8/26,"Acme 美工刀, 蓝色",办公用品,用品,白鹄,消费者,中国,西南,内江,四川,标准级,318,-143,40%,3
US-2014-2872339,2014/8/20,2014/8/26,"宜家 柜, 黑色",家具,书架,白鹄,消费者,中国,西南,内江,四川,标准级,"1,610",161,40%,4
CN-2014-2662386,2014/8/21,2014/8/24,"SAFCO 凳子, 黑色",家具,椅子,万达侠,公司,中国,华北,咸水沽,天津,一级,"1,545",247,0%,2
CN-2014-1232384,2014/8/22,2014/8/22,"Green Bar 备忘录便条, 每包 12 个",办公用品,纸张,巩德,小型企业,中国,西北,虢镇,陕西,当日,98,4,0%,1
CN-2014-1232384,2014/8/22,2014/8/22,"夏普 无线传真机, 红色",技术,复印机,巩德,小型企业,中国,西北,虢镇,陕西,当日,"1,653",496,0%,1
US-2014-4733722,2014/8/22,2014/8/23,"三星 耳机, 整包",技术,电话,郝壁,公司,中国,东北,辽中,辽宁,一级,"1,026",154,40%,5
US-2014-4733722,2014/8/22,2014/8/23,"Enermax 鼠标, 实惠",技术,配件,郝壁,公司,中国,东北,辽中,辽宁,一级,790,-198,40%,7
CN-2014-2491194,2014/8/22,2014/8/27,"Cardinal 装订机, 耐用",办公用品,装订机,钱宁,公司,中国,东北,双阳,吉林,标准级,286,71,0%,4
CN-2014-4114478,2014/8/22,2014/8/27,"Kraft 商业信封, 红色",办公用品,信封,陈健,公司,中国,中南,沅江,湖南,标准级,466,46,0%,5
CN-2014-2491194,2014/8/22,2014/8/27,"贝尔金 路由器, 耐用",技术,配件,钱宁,公司,中国,东北,双阳,吉林,标准级,"2,417","1,015",0%,2
CN-2014-2979175,2014/8/22,2014/8/27,"贝尔金 键盘, 耐用",技术,配件,贺伟,消费者,中国,中南,浯溪,湖南,标准级,"1,962",274,0%,5
CN-2014-1860599,2014/8/23,2014/8/28,"诺基亚 音频基座, 混合尺寸",技术,电话,戴珑,公司,中国,华东,宾州,山东,标准级,"1,583",680,0%,2
CN-2014-1860599,2014/8/23,2014/8/28,"SanDisk 记忆卡, 实惠",技术,配件,戴珑,公司,中国,华东,宾州,山东,标准级,"3,147",629,0%,6
CN-2014-2295401,2014/8/24,2014/8/24,"Fellowes 文件车, 蓝色",办公用品,收纳具,任梅,小型企业,中国,华北,天津,天津,当日,"2,563",51,0%,4
CN-2014-2295401,2014/8/24,2014/8/24,"Tenex 文件夹, 蓝色",办公用品,收纳具,任梅,小型企业,中国,华北,天津,天津,当日,433,91,0%,4
US-2014-1166865,2014/8/24,2014/8/24,"夏普 墨水, 红色",技术,复印机,徐菊,消费者,中国,中南,武汉,湖北,当日,687,-344,40%,2
CN-2014-2558996,2014/8/24,2014/8/26,"Fiskars 美工刀, 工业",办公用品,用品,贺鹏,小型企业,中国,中南,惠城,广东,一级,520,62,0%,3
CN-2014-4395048,2014/8/24,2014/8/26,"Ames 外皮和封条, 红色",办公用品,信封,曾幂,消费者,中国,中南,埠河,湖北,一级,519,223,0%,5
CN-2014-4395048,2014/8/24,2014/8/26,"Breville 微波炉, 白色",办公用品,器具,曾幂,消费者,中国,中南,埠河,湖北,一级,"2,519","-1,386",40%,3
CN-2014-3232413,2014/8/24,2014/8/27,"佳能 传真机, 红色",技术,复印机,袁保,公司,中国,中南,阳江,广东,二级,"2,955","1,152",0%,2
CN-2014-2508741,2014/8/24,2014/8/28,"Wilson Jones 装订机盖, 回收",办公用品,装订机,沈虢,消费者,中国,中南,惠州,广东,标准级,108,19,0%,2
CN-2014-3367931,2014/8/24,2014/8/29,"Avery 圆形标签, 可调",办公用品,标签,薛健,公司,中国,西南,重庆,重庆,标准级,24,0,0%,1
CN-2014-3367931,2014/8/24,2014/8/29,"SanDisk 备忘录便条, 回收",办公用品,纸张,薛健,公司,中国,西南,重庆,重庆,标准级,236,66,0%,3
CN-2014-3367931,2014/8/24,2014/8/29,"施乐 计划信息表, 多色",办公用品,纸张,薛健,公司,中国,西南,重庆,重庆,标准级,203,65,0%,2
CN-2014-3367931,2014/8/24,2014/8/29,"Bush 搁架, 金属",家具,书架,薛健,公司,中国,西南,重庆,重庆,标准级,"1,593",797,0%,2
CN-2014-4195213,2014/8/24,2014/8/30,"Harbour Creations 沙滩椅, 红色",家具,椅子,封乐,消费者,中国,华东,南京,江苏,标准级,345,-35,40%,2
CN-2014-3534471,2014/8/25,2014/8/29,"Green Bar 笔记本, 每包 12 个",办公用品,纸张,曹冬露,消费者,中国,中南,海口,海南,标准级,950,104,0%,6
CN-2014-3534471,2014/8/25,2014/8/29,"Cardinal 装订机, 实惠",办公用品,装订机,曹冬露,消费者,中国,中南,海口,海南,标准级,387,85,0%,6
CN-2014-5048976,2014/8/25,2014/8/29,"夏普 个人复印机, 彩色",技术,复印机,林谦,消费者,中国,中南,鄂州,湖北,标准级,"2,380",277,40%,7
CN-2014-5022660,2014/8/26,2014/8/28,"宜家 柜, 白色",家具,书架,余舟,小型企业,中国,华北,承德,河北,二级,"1,353",500,0%,2
CN-2014-3429663,2014/8/26,2014/8/30,"SanDisk 笔记本, 多色",办公用品,纸张,黄岱,消费者,中国,华东,青岛,山东,标准级,437,192,0%,3
CN-2014-2105676,2014/8/27,2014/8/30,"Acme 大剪刀, 工业",办公用品,用品,钟宣,公司,中国,西北,西安,陕西,一级,"2,165",302,0%,9
CN-2014-2105676,2014/8/27,2014/8/30,"Green Bar 令, 每包 12 个",办公用品,纸张,钟宣,公司,中国,西北,西安,陕西,一级,158,9,0%,1
CN-2014-4480622,2014/8/27,2014/8/30,"Acco 孔加固材料, 耐用",办公用品,装订机,何虢,小型企业,中国,华东,上海,上海,一级,114,3,0%,3
US-2014-1501002,2014/8/28,2014/9/2,"Hon 凳子, 每套两件",家具,椅子,肖菊,公司,中国,西北,肃州,甘肃,标准级,"1,858",-434,40%,4
US-2014-1501002,2014/8/28,2014/9/2,"思科 办公室电话机, 蓝色",技术,电话,肖菊,公司,中国,西北,肃州,甘肃,标准级,"1,126",-526,40%,5
US-2014-3954075,2014/8/29,2014/8/31,"Smead 圆形标签, 耐用",办公用品,标签,潘健,消费者,中国,华东,扬州,江苏,二级,34,4,0%,1
US-2014-3954075,2014/8/29,2014/8/31,"Acme 美工刀, 工业",办公用品,用品,潘健,消费者,中国,华东,扬州,江苏,二级,331,-133,40%,3
US-2014-3954075,2014/8/29,2014/8/31,"Stiletto 尺子, 锯齿状",办公用品,用品,潘健,消费者,中国,华东,扬州,江苏,二级,65,-27,40%,2
US-2014-3954075,2014/8/29,2014/8/31,"Brother 无线传真机, 数字化",技术,复印机,潘健,消费者,中国,华东,扬州,江苏,二级,"3,179",-159,40%,3
US-2014-2306215,2014/8/29,2014/9/1,"Ames 外皮和封条, 红色",办公用品,信封,孙斯云,消费者,中国,华东,义乌,浙江,二级,830,356,0%,8
US-2014-2306215,2014/8/29,2014/9/1,"Rogers 盘, 单宽度",办公用品,收纳具,孙斯云,消费者,中国,华东,义乌,浙江,二级,576,230,0%,2
US-2014-2306215,2014/8/29,2014/9/1,"Stanley 钢笔, 整包",办公用品,美术,孙斯云,消费者,中国,华东,义乌,浙江,二级,29,-100,80%,3
CN-2014-1933544,2014/8/29,2014/9/1,"Ibico 订书机, 耐用",办公用品,装订机,俞晒明,消费者,中国,华东,平度,山东,二级,"1,729",363,0%,7
US-2014-2306215,2014/8/29,2014/9/1,"三星 耳机, 混合尺寸",技术,电话,孙斯云,消费者,中国,华东,义乌,浙江,二级,"1,491",-721,40%,7
CN-2014-1734605,2014/8/29,2014/9/3,"Harbour Creations 可去除的标签, 红色",办公用品,标签,夏松,小型企业,中国,华北,杨柳青,天津,二级,190,40,0%,4
CN-2014-2136895,2014/8/30,2014/9/4,"Enermax 键盘, 回收",技术,配件,韩凤,小型企业,中国,东北,敦化,吉林,标准级,"2,276",750,0%,6
CN-2014-3103245,2014/8/31,2014/9/3,"Kraft 邮寄品, 银色",办公用品,信封,段杰,公司,中国,中南,蒲圻,湖北,二级,561,123,0%,3
CN-2014-3103245,2014/8/31,2014/9/3,"SanDisk 笔记本, 回收",办公用品,纸张,段杰,公司,中国,中南,蒲圻,湖北,二级,694,180,0%,5
CN-2014-3211633,2014/8/31,2014/9/4,"Cameo 搭扣信封, 红色",办公用品,信封,钟宣,公司,中国,中南,广州,广东,标准级,183,89,0%,3
CN-2014-1658434,2014/8/31,2014/9/4,"Stanley 钢笔, 蓝色",办公用品,美术,秦淑芳,公司,中国,华北,大同,山西,标准级,141,39,0%,3
CN-2014-3211633,2014/8/31,2014/9/4,"Bush 书架, 传统",家具,书架,钟宣,公司,中国,中南,广州,广东,标准级,"1,729",795,0%,3
CN-2014-1658434,2014/8/31,2014/9/4,"Novimex 椅垫, 每套两件",家具,椅子,秦淑芳,公司,中国,华北,大同,山西,标准级,"1,367",574,0%,5
CN-2014-1658434,2014/8/31,2014/9/4,"SAFCO 扶手椅, 每套两件",家具,椅子,秦淑芳,公司,中国,华北,大同,山西,标准级,"6,492","3,051",0%,3
CN-2014-3211633,2014/8/31,2014/9/4,"诺基亚 信号增强器, 全尺寸",技术,电话,钟宣,公司,中国,中南,广州,广东,标准级,"3,215",643,0%,5
CN-2014-2829745,2014/8/31,2014/9/5,"KitchenAid 搅拌机, 红色",办公用品,器具,庄伟,小型企业,中国,中南,肇庆,广东,标准级,"5,536","2,159",0%,12
CN-2014-2829745,2014/8/31,2014/9/5,"Smead 锁柜, 蓝色",办公用品,收纳具,庄伟,小型企业,中国,中南,肇庆,广东,标准级,"6,482","2,981",0%,7
CN-2014-2829745,2014/8/31,2014/9/5,"Sanford 钢笔, 混合尺寸",办公用品,美术,庄伟,小型企业,中国,中南,肇庆,广东,标准级,267,-4,20%,5
CN-2014-2829745,2014/8/31,2014/9/5,"Cardinal 打孔机, 透明",办公用品,装订机,庄伟,小型企业,中国,中南,肇庆,广东,标准级,923,286,0%,7
CN-2014-2829745,2014/8/31,2014/9/5,"宜家 墙角架, 黑色",家具,书架,庄伟,小型企业,中国,中南,肇庆,广东,标准级,"1,742",192,0%,3
CN-2014-3370094,2014/8/31,2014/9/5,"Hewlett 个人复印机, 红色",技术,复印机,佘凤,公司,中国,中南,浯溪,湖南,二级,"3,324",465,0%,5
CN-2014-3898543,2014/9/1,2014/9/5,"Ibico 标签, 实惠",办公用品,装订机,白立荣,消费者,中国,华北,保定,河北,标准级,166,11,0%,4
CN-2014-3171627,2014/9/2,2014/9/2,"Eldon 搁板, 金属",办公用品,收纳具,唐凤,消费者,中国,华东,文登,山东,当日,443,124,0%,2
CN-2014-3171627,2014/9/2,2014/9/2,"Accos 夹子, 整包",办公用品,系固件,唐凤,消费者,中国,华东,文登,山东,当日,90,8,0%,1
CN-2014-3171627,2014/9/2,2014/9/2,"Cardinal 孔加固材料, 实惠",办公用品,装订机,唐凤,消费者,中国,华东,文登,山东,当日,199,26,0%,8
CN-2014-3171627,2014/9/2,2014/9/2,"Hewlett 传真复印机, 每套两件",技术,复印机,唐凤,消费者,中国,华东,文登,山东,当日,"7,200","1,439",0%,8
CN-2014-3139690,2014/9/3,2014/9/9,"Avery 装订机盖, 实惠",办公用品,装订机,任临耀,公司,中国,东北,哈尔滨,黑龙江,标准级,207,12,0%,4
CN-2014-3139690,2014/9/3,2014/9/9,"Avery 订书机, 耐用",办公用品,装订机,任临耀,公司,中国,东北,哈尔滨,黑龙江,标准级,705,254,0%,3
CN-2014-2543675,2014/9/5,2014/9/7,"Breville 冰箱, 白色",办公用品,器具,邓惠,消费者,中国,中南,孝感,湖北,二级,"4,347","-2,101",40%,3
CN-2014-2543675,2014/9/5,2014/9/7,"OIC 订书钉, 整包",办公用品,系固件,邓惠,消费者,中国,中南,孝感,湖北,二级,95,-21,40%,3
CN-2014-2543675,2014/9/5,2014/9/7,"施乐 信纸, 多色",办公用品,纸张,邓惠,消费者,中国,中南,孝感,湖北,二级,649,312,0%,3
CN-2014-5057492,2014/9/6,2014/9/10,"Advantus 回形针, 混合尺寸",办公用品,系固件,楚丽丽,小型企业,中国,东北,鹤岗,黑龙江,标准级,106,22,0%,2
CN-2014-5057492,2014/9/6,2014/9/10,"宜家 搁架, 金属",家具,书架,楚丽丽,小型企业,中国,东北,鹤岗,黑龙江,标准级,"3,170",348,0%,4
CN-2014-5057492,2014/9/6,2014/9/10,"Advantus 分层置放架, 优质",家具,用具,楚丽丽,小型企业,中国,东北,鹤岗,黑龙江,标准级,466,228,0%,4
CN-2014-5057492,2014/9/6,2014/9/10,"StarTech 卡片打印机, 多色",技术,设备,楚丽丽,小型企业,中国,东北,鹤岗,黑龙江,标准级,"1,526",702,0%,2
CN-2014-5057492,2014/9/6,2014/9/10,"贝尔金 记忆卡, 可编程",技术,配件,楚丽丽,小型企业,中国,东北,鹤岗,黑龙江,标准级,"2,714",923,0%,5
CN-2014-2048658,2014/9/6,2014/9/12,"Ibico 装订机, 透明",办公用品,装订机,陈莲,公司,中国,中南,吉首,湖南,标准级,139,25,0%,2
CN-2014-2048658,2014/9/6,2014/9/12,"三星 充电器, 蓝色",技术,电话,陈莲,公司,中国,中南,吉首,湖南,标准级,"5,937",950,0%,2
US-2014-4733722,2014/9/7,2014/9/10,"Jiffy 外皮和封条, 银色",办公用品,信封,唐忠,公司,中国,东北,宾州,黑龙江,一级,314,147,0%,3
CN-2014-3964185,2014/9/7,2014/9/10,"Eaton 令, 多色",办公用品,纸张,孟刚,公司,中国,华东,泗水,山东,二级,783,250,0%,6
CN-2014-3964185,2014/9/7,2014/9/10,"施乐 计划信息表, 每包 12 个",办公用品,纸张,孟刚,公司,中国,华东,泗水,山东,二级,114,6,0%,1
US-2014-3569049,2014/9/7,2014/9/11,"摩托罗拉 音频基座, 混合尺寸",技术,电话,顾莲,小型企业,中国,东北,哈尔滨,黑龙江,标准级,"2,467",814,0%,3
US-2014-3569049,2014/9/7,2014/9/11,"苹果 办公室电话机, 混合尺寸",技术,电话,顾莲,小型企业,中国,东北,哈尔滨,黑龙江,标准级,636,267,0%,2
CN-2014-4482834,2014/9/7,2014/9/12,"Binney & Smith 铅笔刀, 金属",办公用品,美术,潘荷,小型企业,中国,华北,太原,山西,标准级,261,5,0%,2
CN-2014-4482834,2014/9/7,2014/9/12,"贝尔金 记忆卡, 实惠",技术,配件,潘荷,小型企业,中国,华北,太原,山西,标准级,"4,822","1,832",0%,9
US-2014-1069751,2014/9/7,2014/9/13,"Hon 合法证物标签, 白色",办公用品,标签,任婵娟,公司,中国,华东,亿诚,江苏,标准级,51,1,0%,1
US-2014-1069751,2014/9/7,2014/9/13,"三星 耳机, 全尺寸",技术,电话,任婵娟,公司,中国,华东,亿诚,江苏,标准级,"1,043",-139,40%,5
CN-2014-2252147,2014/9/8,2014/9/8,"Cuisinart 冰箱, 红色",办公用品,器具,陶昌,消费者,中国,中南,岳阳,湖南,当日,"9,260","3,704",0%,4
CN-2014-2252147,2014/9/8,2014/9/8,"Stockwell 橡皮筋, 每包 12 个",办公用品,系固件,陶昌,消费者,中国,中南,岳阳,湖南,当日,291,113,0%,4
CN-2014-2252147,2014/9/8,2014/9/8,"Avery 孔加固材料, 实惠",办公用品,装订机,陶昌,消费者,中国,中南,岳阳,湖南,当日,41,19,0%,2
CN-2014-2252147,2014/9/8,2014/9/8,"Cardinal 孔加固材料, 透明",办公用品,装订机,陶昌,消费者,中国,中南,岳阳,湖南,当日,90,10,0%,4
CN-2014-1996678,2014/9/9,2014/9/10,"Ames 外皮和封条, 回收",办公用品,信封,谢斯云,公司,中国,华北,天津,天津,一级,163,55,0%,2
CN-2014-1996678,2014/9/9,2014/9/10,"Smead 盒, 金属",办公用品,收纳具,谢斯云,公司,中国,华北,天津,天津,一级,184,40,0%,4
CN-2014-1996678,2014/9/9,2014/9/10,"SanDisk 羊皮纸, 优质",办公用品,纸张,谢斯云,公司,中国,华北,天津,天津,一级,546,136,0%,7
CN-2014-3643443,2014/9/9,2014/9/11,"Avery 可去除的标签, 白色",办公用品,标签,潘博,消费者,中国,华东,上虞,浙江,二级,200,8,0%,4
CN-2014-3643443,2014/9/9,2014/9/11,"施乐 计划信息表, 回收",办公用品,纸张,潘博,消费者,中国,华东,上虞,浙江,二级,284,96,0%,3
CN-2014-3722391,2014/9/9,2014/9/14,"Cameo 局间信封, 红色",办公用品,信封,黄康,消费者,中国,华东,烟台,山东,标准级,476,52,0%,2
CN-2014-3722391,2014/9/9,2014/9/14,"冲电器 卡片打印机, 白色",技术,设备,黄康,消费者,中国,华东,烟台,山东,标准级,"4,066","1,748",0%,5
CN-2014-3722391,2014/9/9,2014/9/14,"SanDisk 记忆卡, 耐用",技术,配件,黄康,消费者,中国,华东,烟台,山东,标准级,"1,577",0,0%,3
CN-2014-2098822,2014/9/10,2014/9/12,"Fellowes 文件夹, 金属",办公用品,收纳具,龙谦,消费者,中国,华东,莆田,福建,一级,238,17,0%,2
CN-2014-2098822,2014/9/10,2014/9/12,"Wilson Jones 打孔机, 实惠",办公用品,装订机,龙谦,消费者,中国,华东,莆田,福建,一级,653,52,0%,5
CN-2014-2098822,2014/9/10,2014/9/12,"Wilson Jones 装订机, 回收",办公用品,装订机,龙谦,消费者,中国,华东,莆田,福建,一级,187,67,0%,3
CN-2014-2098822,2014/9/10,2014/9/12,"夏普 墨水, 红色",技术,复印机,龙谦,消费者,中国,华东,莆田,福建,一级,"1,144",114,0%,2
CN-2014-4092793,2014/9/10,2014/9/14,"Smead 盒, 单宽度",办公用品,收纳具,葛彩,消费者,中国,东北,大庆,黑龙江,标准级,101,44,0%,2
CN-2014-2042105,2014/9/10,2014/9/15,"Harbour Creations 有色标签, 红色",办公用品,标签,毛刚,消费者,中国,华东,温州,浙江,标准级,297,29,0%,5
CN-2014-2042105,2014/9/10,2014/9/15,"Binney & Smith 荧光笔, 整包",办公用品,美术,毛刚,消费者,中国,华东,温州,浙江,标准级,94,-321,80%,6
CN-2014-2042105,2014/9/10,2014/9/15,"Enermax 键区, 实惠",技术,配件,毛刚,消费者,中国,华东,温州,浙江,标准级,321,-203,40%,2
CN-2014-2042105,2014/9/10,2014/9/15,"贝尔金 路由器, 回收",技术,配件,毛刚,消费者,中国,华东,温州,浙江,标准级,"1,437",-72,40%,2
CN-2014-2084652,2014/9/11,2014/9/14,"Hoover 咖啡研磨机, 白色",办公用品,器具,卢壁,消费者,中国,华东,州城,山东,一级,625,293,0%,2
CN-2014-2084652,2014/9/11,2014/9/14,"Ibico 打孔机, 回收",办公用品,装订机,卢壁,消费者,中国,华东,州城,山东,一级,288,52,0%,2
CN-2014-2084652,2014/9/11,2014/9/14,"Sauder 搁架, 金属",家具,书架,卢壁,消费者,中国,华东,州城,山东,一级,"2,717",380,0%,3
CN-2014-2286344,2014/9/12,2014/9/19,"SAFCO 沙滩椅, 红色",家具,椅子,梁安,公司,中国,中南,吉首,湖南,标准级,831,360,10%,4
US-2014-5673737,2014/9/13,2014/9/13,"Breville 炉灶, 银色",办公用品,器具,彭博,公司,中国,东北,宜春,黑龙江,当日,"10,496","1,784",0%,4
US-2014-5673737,2014/9/13,2014/9/13,"Smead 圆形标签, 白色",办公用品,标签,彭博,公司,中国,东北,宜春,黑龙江,当日,129,31,0%,4
US-2014-5673737,2014/9/13,2014/9/13,"Binney & Smith 画布, 金属",办公用品,美术,彭博,公司,中国,东北,宜春,黑龙江,当日,"1,179",-192,20%,6
CN-2014-1928578,2014/9/13,2014/9/14,"Ames 外皮和封条, 银色",办公用品,信封,许绅,消费者,中国,西北,兰州,甘肃,一级,197,14,0%,2
CN-2014-1928578,2014/9/13,2014/9/14,"Stockwell 图钉, 每包 12 个",办公用品,系固件,许绅,消费者,中国,西北,兰州,甘肃,一级,352,17,40%,10
CN-2014-1928578,2014/9/13,2014/9/14,"Wilson Jones 标签, 耐用",办公用品,装订机,许绅,消费者,中国,西北,兰州,甘肃,一级,67,-34,40%,3
CN-2014-2681471,2014/9/14,2014/9/14,"Tenex 文件车, 金属",办公用品,收纳具,施良,消费者,中国,华东,青岛,山东,当日,"3,108",994,0%,5
CN-2014-2681471,2014/9/14,2014/9/14,"Smead 合法证物标签, 白色",办公用品,标签,施良,消费者,中国,华东,青岛,山东,当日,311,18,0%,6
CN-2014-2681471,2014/9/14,2014/9/14,"Stockwell 图钉, 每包 12 个",办公用品,系固件,施良,消费者,中国,华东,青岛,山东,当日,59,25,0%,1
CN-2014-2681471,2014/9/14,2014/9/14,"Avery 订书机, 回收",办公用品,装订机,施良,消费者,中国,华东,青岛,山东,当日,918,82,0%,4
CN-2014-2681471,2014/9/14,2014/9/14,"SAFCO 凳子, 黑色",家具,椅子,施良,消费者,中国,华东,青岛,山东,当日,"3,862",617,0%,5
CN-2014-1893791,2014/9/14,2014/9/17,"Rubvermaid 门挡, 黑色",家具,用具,柯丽,消费者,中国,华东,安庆,安徽,二级,"1,022",307,0%,5
CN-2014-1893791,2014/9/14,2014/9/17,"摩托罗拉 智能手机, 全尺寸",技术,电话,柯丽,消费者,中国,华东,安庆,安徽,二级,"1,223",85,0%,2
CN-2014-3924364,2014/9/14,2014/9/18,"Hewlett 传真复印机, 每套两件",技术,复印机,邱德,小型企业,中国,中南,洛阳,广东,标准级,"3,600",720,0%,4
CN-2014-4921616,2014/9/14,2014/9/18,"夏普 传真复印机, 彩色",技术,复印机,麦忠,消费者,中国,华东,南昌,江西,标准级,794,246,0%,1
CN-2014-2173759,2014/9/14,2014/9/20,"Ames 局间信封, 红色",办公用品,信封,巩光,消费者,中国,华东,济南,山东,标准级,908,291,0%,4
CN-2014-2173759,2014/9/14,2014/9/20,"Green Bar 笔记本, 每包 12 个",办公用品,纸张,巩光,消费者,中国,华东,济南,山东,标准级,950,104,0%,6
CN-2014-2173759,2014/9/14,2014/9/20,"佳能 个人复印机, 红色",技术,复印机,巩光,消费者,中国,华东,济南,山东,标准级,"3,946",0,0%,6
CN-2014-1640388,2014/9/15,2014/9/15,"Jiffy 商业信封, 红色",办公用品,信封,邹涛,公司,中国,东北,长春,吉林,当日,182,89,0%,2
CN-2014-1640388,2014/9/15,2014/9/15,"Barricks 电脑桌, 白色",家具,桌子,邹涛,公司,中国,东北,长春,吉林,当日,"8,401",-672,25%,5
CN-2014-1370213,2014/9/15,2014/9/18,"Barricks 电脑桌, 长方形",家具,桌子,严盛,消费者,中国,西南,重庆,重庆,一级,"2,662",399,40%,2
CN-2014-5926511,2014/9/15,2014/9/18,"三星 信号增强器, 整包",技术,电话,曹丽娜,消费者,中国,西北,肃州,甘肃,二级,"4,210","-2,666",40%,11
CN-2014-5926511,2014/9/15,2014/9/18,"苹果 音频基座, 全尺寸",技术,电话,曹丽娜,消费者,中国,西北,肃州,甘肃,二级,"2,825",-94,40%,6
CN-2014-5252007,2014/9/15,2014/9/20,"Breville 咖啡研磨机, 黑色",办公用品,器具,常宣,消费者,中国,华东,徐州,江苏,标准级,343,-75,40%,2
CN-2014-5252007,2014/9/15,2014/9/20,"Fellowes 盘, 蓝色",办公用品,收纳具,常宣,消费者,中国,华东,徐州,江苏,标准级,"1,071",246,0%,4
CN-2014-5252007,2014/9/15,2014/9/20,"Rogers 文件车, 蓝色",办公用品,收纳具,常宣,消费者,中国,华东,徐州,江苏,标准级,"6,608",66,0%,10
CN-2014-5252007,2014/9/15,2014/9/20,"Lesro 培训桌, 黑色",家具,桌子,常宣,消费者,中国,华东,徐州,江苏,标准级,"6,021","-7,978",60%,12
CN-2014-5252007,2014/9/15,2014/9/20,"Deflect-O 分层置放架, 优质",家具,用具,常宣,消费者,中国,华东,徐州,江苏,标准级,335,-112,40%,5
CN-2014-1297686,2014/9/15,2014/9/21,"Hoover 烤面包机, 红色",办公用品,器具,余婵,公司,中国,华东,富阳,浙江,标准级,"1,639",-492,40%,7
CN-2014-1297686,2014/9/15,2014/9/21,"Kleencut 剪刀, 工业",办公用品,用品,余婵,公司,中国,华东,富阳,浙江,标准级,201,30,40%,3
CN-2014-1297686,2014/9/15,2014/9/21,"Enermax 记忆卡, 耐用",技术,配件,余婵,公司,中国,华东,富阳,浙江,标准级,"1,604",160,40%,5
CN-2014-1179561,2014/9/15,2014/9/22,"施乐 令, 优质",办公用品,纸张,邢谦,公司,中国,东北,牡丹江,黑龙江,标准级,615,61,0%,5
CN-2014-1179561,2014/9/15,2014/9/22,"摩托罗拉 充电器, 全尺寸",技术,电话,邢谦,公司,中国,东北,牡丹江,黑龙江,标准级,"9,016",541,0%,3
CN-2014-1179561,2014/9/15,2014/9/22,"诺基亚 耳机, 全尺寸",技术,电话,邢谦,公司,中国,东北,牡丹江,黑龙江,标准级,347,87,0%,1
CN-2014-1179561,2014/9/15,2014/9/22,"罗技 键区, 耐用",技术,配件,邢谦,公司,中国,东北,牡丹江,黑龙江,标准级,"1,086",97,0%,5
CN-2014-4230867,2014/9/17,2014/9/23,"Tenex 盒, 工业",办公用品,收纳具,肖崆,消费者,中国,东北,哈尔滨,黑龙江,标准级,79,25,0%,1
CN-2014-2381293,2014/9/19,2014/9/21,"Hon 圆桌, 黑色",家具,桌子,贺伟,消费者,中国,西南,重庆,重庆,一级,"5,778",289,40%,4
CN-2014-2381293,2014/9/19,2014/9/21,"Brother 墨水, 每套两件",技术,复印机,贺伟,消费者,中国,西南,重庆,重庆,一级,550,14,20%,1
US-2014-1973789,2014/9/19,2014/9/23,"Novimex 合法证物标签, 白色",办公用品,标签,戴松,公司,中国,中南,武汉,湖北,标准级,147,50,0%,3
US-2014-1973789,2014/9/19,2014/9/23,"Novimex 折叠椅, 每套两件",家具,椅子,戴松,公司,中国,中南,武汉,湖北,标准级,473,-16,40%,2
US-2014-1973789,2014/9/19,2014/9/23,"Hewlett 个人复印机, 彩色",技术,复印机,戴松,公司,中国,中南,武汉,湖北,标准级,816,-313,40%,2
US-2014-1973789,2014/9/19,2014/9/23,"Hewlett 个人复印机, 数字化",技术,复印机,戴松,公司,中国,中南,武汉,湖北,标准级,"1,209",201,40%,3
US-2014-5555490,2014/9/19,2014/9/24,"Smead 有色标签, 耐用",办公用品,标签,沈彩,消费者,中国,华北,呼和浩特,内蒙古,二级,63,26,0%,1
US-2014-5555490,2014/9/19,2014/9/24,"摩托罗拉 办公室电话机, 混合尺寸",技术,电话,沈彩,消费者,中国,华北,呼和浩特,内蒙古,二级,627,-251,40%,3
CN-2014-5278891,2014/9/19,2014/9/26,"KitchenAid 冰箱, 黑色",办公用品,器具,蒋光,小型企业,中国,东北,大连,辽宁,标准级,"2,953","-1,132",40%,2
CN-2014-5278891,2014/9/19,2014/9/26,"Stockwell 订书钉, 金属",办公用品,系固件,蒋光,小型企业,中国,东北,大连,辽宁,标准级,92,-52,40%,3
CN-2014-5278891,2014/9/19,2014/9/26,"Novimex 折叠椅, 黑色",家具,椅子,蒋光,小型企业,中国,东北,大连,辽宁,标准级,670,-380,40%,3
US-2014-2199283,2014/9/20,2014/9/20,"Advantus 闹钟, 耐用",家具,用具,许绅,消费者,中国,中南,郑州,河南,当日,"2,712",921,0%,12
